file,line,symbol,type,scope,mutability,synchronization,writer_evidence,reader_evidence,owner_identity,reset_teardown_disposition
ggml/src/ggml-sycl/ggml-sycl.cpp,399,g_recording_queue_ptr,sycl::queue *,file,mutable,thread-local,unscoped lexical candidate: L90140:g_recording_queue_ptr = nullptr; | L90191:g_recording_queue_ptr = stream; | L91077:g_recording_queue_ptr = stream;,unscoped lexical candidate: L88146:g_recording_queue_ptr && !g_moe_descriptor_dispatch_graph_recording_active) { | L88170:g_recording_graph_ptr->begin_recording(*g_recording_queue_ptr); | L100964:decltype(g_recording_queue_ptr) old_queue = g_recording_queue_ptr;,thread,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,401,g_ggml_sycl_graph_recording_depth,std::atomic<int>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L88150:g_ggml_sycl_graph_recording_depth.fetch_sub(1, std::memory_order_acq_rel); | L88167:g_ggml_sycl_graph_recording_depth.fetch_add(1, std::memory_order_acq_rel); | L90144:g_ggml_sycl_graph_recording_depth.fetch_sub(1, std::memory_order_acq_rel);",none found by unscoped lexical scan,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,402,g_sycl_barrier_count_during_recording,std::atomic<int>,file,mutable,intrinsic:atomic,unscoped lexical candidate: L101163:g_sycl_barrier_count_during_recording.store(0);,"unscoped lexical candidate: L101187:g_sycl_barrier_count_during_recording.load(),",process or function lifetime (review required),lifecycle not inferred; unscoped lexical reset candidate: L101163:g_sycl_barrier_count_during_recording.store(0);
ggml/src/ggml-sycl/ggml-sycl.cpp,403,g_sycl_submit_count_during_recording,std::atomic<int>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L88008:g_sycl_submit_count_during_recording.fetch_add(1, std::memory_order_relaxed); | L101164:g_sycl_submit_count_during_recording.store(0);","unscoped lexical candidate: L101188:g_sycl_submit_count_during_recording.load(),",process or function lifetime (review required),lifecycle not inferred; unscoped lexical reset candidate: L101164:g_sycl_submit_count_during_recording.store(0);
ggml/src/ggml-sycl/ggml-sycl.cpp,404,g_sycl_extra_submit_count_during_recording,std::atomic<int>,file,mutable,intrinsic:atomic,unscoped lexical candidate: L101165:g_sycl_extra_submit_count_during_recording.store(0);,"unscoped lexical candidate: L101189:g_sycl_extra_submit_count_during_recording.load(), cgraph->n_nodes);",process or function lifetime (review required),lifecycle not inferred; unscoped lexical reset candidate: L101165:g_sycl_extra_submit_count_during_recording.store(0);
ggml/src/ggml-sycl/ggml-sycl.cpp,420,g_sycl_kv_host_decline_count,std::atomic<uint64_t>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L102063:g_sycl_kv_host_decline_count.fetch_add(1, std::memory_order_relaxed); | L102112:g_sycl_kv_host_decline_count.fetch_add(1, std::memory_order_relaxed);",unscoped lexical candidate: L424:// Same shape/lifetime discipline as g_sycl_kv_host_decline_count above -- | L79621:// g_sycl_kv_host_decline_count for why it is process-global and may | L79628:const uint64_t kv_host_declines = g_sycl_kv_host_decline_count.load(std::memory_order_relaxed);,model/layer semantic state (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,428,g_sycl_attn_host_accept_count,std::atomic<uint64_t>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L102069:g_sycl_attn_host_accept_count.fetch_add(1, std::memory_order_relaxed); | L102103:g_sycl_attn_host_accept_count.fetch_add(1, std::memory_order_relaxed);",none found by unscoped lexical scan,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,431,enabled,const bool,function-local:ggml_sycl_moe_exact_runtime_stage_enabled,immutable binding,none evident,unscoped lexical candidate: L207:static const bool enabled = []() { | L440:static const bool enabled = [] { | L448:static const bool enabled = [] {,"unscoped lexical candidate: L211:return enabled; | L393:static std::atomic<int> g_ggml_sycl_unified_dispatch{ -1 }; // -1 = not initialized, 0 = disabled, 1 = enabled | L435:return enabled;",process or function lifetime (review required),not applicable: immutable binding
ggml/src/ggml-sycl/ggml-sycl.cpp,440,enabled,const bool,function-local:ggml_sycl_graph_diag_enabled,immutable binding,none evident,unscoped lexical candidate: L207:static const bool enabled = []() { | L431:static const bool enabled = [] { | L448:static const bool enabled = [] {,"unscoped lexical candidate: L211:return enabled; | L393:static std::atomic<int> g_ggml_sycl_unified_dispatch{ -1 }; // -1 = not initialized, 0 = disabled, 1 = enabled | L435:return enabled;",process or function lifetime (review required),not applicable: immutable binding
ggml/src/ggml-sycl/ggml-sycl.cpp,448,enabled,const bool,function-local:ggml_sycl_flash_attn_graph_allow_enabled,immutable binding,none evident,unscoped lexical candidate: L207:static const bool enabled = []() { | L431:static const bool enabled = [] { | L440:static const bool enabled = [] {,"unscoped lexical candidate: L211:return enabled; | L393:static std::atomic<int> g_ggml_sycl_unified_dispatch{ -1 }; // -1 = not initialized, 0 = disabled, 1 = enabled | L435:return enabled;",process or function lifetime (review required),not applicable: immutable binding
ggml/src/ggml-sycl/ggml-sycl.cpp,456,enabled,const bool,function-local:ggml_sycl_non_fa_attn_graph_allow_enabled,immutable binding,none evident,unscoped lexical candidate: L207:static const bool enabled = []() { | L431:static const bool enabled = [] { | L440:static const bool enabled = [] {,"unscoped lexical candidate: L211:return enabled; | L393:static std::atomic<int> g_ggml_sycl_unified_dispatch{ -1 }; // -1 = not initialized, 0 = disabled, 1 = enabled | L435:return enabled;",process or function lifetime (review required),not applicable: immutable binding
ggml/src/ggml-sycl/ggml-sycl.cpp,544,g_graph_diag_counters,ggml_sycl_graph_diag_counters,file,mutable,none evident,none found by unscoped lexical scan,unscoped lexical candidate: L574:const uint64_t records = ggml_sycl_graph_diag_load(g_graph_diag_counters.sequence_graphlet_record); | L575:const uint64_t replays = ggml_sycl_graph_diag_load(g_graph_diag_counters.sequence_graphlet_replay); | L577:ggml_sycl_graph_diag_load(g_graph_diag_counters.sequence_graphlet_direct_replay_calls);,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,545,g_moe_direct_graphlet_pending_replays,int,file,mutable,thread-local,unscoped lexical candidate: L88110:g_moe_direct_graphlet_pending_replays++; | L88214:g_moe_direct_graphlet_pending_replays = 0; | L101351:g_moe_direct_graphlet_pending_replays = 0;,"unscoped lexical candidate: L687:(unsigned long long) direct_drain_wait, g_moe_direct_graphlet_pending_replays, | L88202:const int pending_direct_graphlets = g_moe_direct_graphlet_pending_replays; | L101303:g_moe_direct_graphlet_pending_replays > 0 || g_moe_block_graphlet_pending_replays > 0;",thread,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,546,g_moe_block_graphlet_pending_replays,int,file,mutable,thread-local,unscoped lexical candidate: L91630:g_moe_block_graphlet_pending_replays++; | L101358:g_moe_block_graphlet_pending_replays = 0;,"unscoped lexical candidate: L690:block_drain_ns / 1000000.0, (unsigned long long) block_drain_wait, g_moe_block_graphlet_pending_replays, | L101303:g_moe_direct_graphlet_pending_replays > 0 || g_moe_block_graphlet_pending_replays > 0; | L101341:if (g_moe_direct_graphlet_pending_replays > 0 || g_moe_block_graphlet_pending_replays > 0 ||",thread,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,547,g_moe_sequence_graphlet_pending_replays,int,file,mutable,thread-local,unscoped lexical candidate: L90880:g_moe_sequence_graphlet_pending_replays++; | L101370:g_moe_sequence_graphlet_pending_replays = 0;,"unscoped lexical candidate: L618:g_moe_sequence_graphlet_pending_replays); | L698:g_moe_sequence_graphlet_pending_replays, sequence_refresh_ns / 1000000.0, sequence_match_ns / 1000000.0, | L88222:g_moe_sequence_graphlet_pending_replays > 0 && ggml_sycl_sequence_graphlet_timing_enabled();",thread,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,548,g_moe_sequence_graphlet_skip_current_compute,bool,file,mutable,thread-local,unscoped lexical candidate: L86313:g_moe_sequence_graphlet_skip_current_compute = true; | L86319:~moe_sequence_graphlet_post_prompt_scope() { g_moe_sequence_graphlet_skip_current_compute = previous; } | L90571:g_moe_sequence_graphlet_skip_current_compute = true;,unscoped lexical candidate: L86303:previous(g_moe_sequence_graphlet_skip_current_compute) { | L90576:if (g_moe_sequence_graphlet_skip_current_compute) {,thread,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,564,enabled,const bool,function-local:ggml_sycl_sequence_graphlet_timing_enabled,immutable binding,none evident,unscoped lexical candidate: L207:static const bool enabled = []() { | L431:static const bool enabled = [] { | L440:static const bool enabled = [] {,"unscoped lexical candidate: L211:return enabled; | L393:static std::atomic<int> g_ggml_sycl_unified_dispatch{ -1 }; // -1 = not initialized, 0 = disabled, 1 = enabled | L435:return enabled;",process or function lifetime (review required),not applicable: immutable binding
ggml/src/ggml-sycl/ggml-sycl.cpp,719,log_count,std::atomic<int>,function-local:ggml_sycl_moe_aggregation_diag,mutable,intrinsic:atomic,"unscoped lexical candidate: L720:if (log_count.fetch_add(1, std::memory_order_relaxed) >= 4096) { | L20935:if (log_count.fetch_add(1, std::memory_order_relaxed) < 2) { | L28761:const int slot = log_count.fetch_add(1, std::memory_order_relaxed);",unscoped lexical candidate: L20934:static std::atomic<int> log_count{ 0 }; | L28760:static std::atomic<int> log_count{ 0 };,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,730,g_graph_memcpy_count_during_recording,std::atomic<int>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L737:int n = g_graph_memcpy_count_during_recording.fetch_add(1, std::memory_order_relaxed); | L101006:g_graph_memcpy_count_during_recording.store(0, std::memory_order_relaxed); | L101171:g_graph_memcpy_count_during_recording.store(0, std::memory_order_relaxed);",unscoped lexical candidate: L101010:int mc = g_graph_memcpy_count_during_recording.load(std::memory_order_relaxed); | L101178:int mc = g_graph_memcpy_count_during_recording.load(std::memory_order_relaxed);,process or function lifetime (review required),"lifecycle not inferred; unscoped lexical reset candidate: L101006:g_graph_memcpy_count_during_recording.store(0, std::memory_order_relaxed); | L101171:g_graph_memcpy_count_during_recording.store(0, std::memory_order_relaxed);"
ggml/src/ggml-sycl/ggml-sycl.cpp,731,g_moe_post_pp_preload_pending,std::atomic<bool>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L99393:g_moe_post_pp_preload_pending.store(true, std::memory_order_release); | L99398:refresh_moe_after_pp = g_moe_post_pp_preload_pending.exchange(false, std::memory_order_acq_rel); | L103487:g_moe_post_pp_preload_pending.store(false, std::memory_order_relaxed);",unscoped lexical candidate: L86305:g_moe_post_pp_preload_pending.load(std::memory_order_acquire)); | L99347:if (cached_is_decode && g_moe_post_pp_preload_pending.load(std::memory_order_acquire) && | L99352:if (cached_is_decode && g_moe_post_pp_preload_pending.load(std::memory_order_acquire) &&,model/layer semantic state (review required),"lifecycle not inferred; unscoped lexical reset candidate: L103487:g_moe_post_pp_preload_pending.store(false, std::memory_order_relaxed);"
ggml/src/ggml-sycl/ggml-sycl.cpp,742,g_graph_compute_forward_memcpy_node_idx,int,file,mutable,none evident,unscoped lexical candidate: L748:g_graph_compute_forward_memcpy_node_idx = node_idx;,none found by unscoped lexical scan,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,751,g_sycl_graph_compute_mutex,std::mutex,file,mutable,intrinsic:lock primitive,none found by unscoped lexical scan,unscoped lexical candidate: L99095:std::unique_lock<std::mutex> global_graph_lock(g_sycl_graph_compute_mutex);,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,752,g_sycl_graph_inflight,std::atomic<int>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L99088:const int inflight_prev = g_sycl_graph_inflight.fetch_add(1, std::memory_order_relaxed);","unscoped lexical candidate: L2140:return g_sycl_graph_inflight.load(std::memory_order_acquire); | L33012:g_sycl_graph_inflight.load(std::memory_order_relaxed), | L99090:graph_inflight_guard inflight_guard(g_sycl_graph_inflight);",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,753,g_sycl_graph_multithreaded,std::atomic<bool>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L99092:g_sycl_graph_multithreaded.store(true, std::memory_order_relaxed); | L99170:g_sycl_graph_multithreaded.store(true, std::memory_order_relaxed);",unscoped lexical candidate: L100058:use_sycl_graph = !g_ggml_sycl_disable_graph && !g_sycl_graph_multithreaded.load(std::memory_order_relaxed) && | L100061:use_sycl_graph = !g_ggml_sycl_disable_graph && !g_sycl_graph_multithreaded.load(std::memory_order_relaxed) && | L100336:if (g_sycl_graph_multithreaded.load(std::memory_order_relaxed) && !diag_multithreaded_logged.exchange(true)) {,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,754,g_ggml_sycl_debug_forced_off,std::atomic<bool>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L23058:g_ggml_sycl_debug_forced_off.store(debug_env_forced_off, std::memory_order_release);",none found by unscoped lexical scan,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,757,g_ggml_sycl_force_vram,std::atomic<int>,file,mutable,intrinsic:atomic,none found by unscoped lexical scan,"unscoped lexical candidate: L8934:int val = g_ggml_sycl_force_vram.load(std::memory_order_acquire); | L8938:g_ggml_sycl_force_vram.compare_exchange_strong(val, new_val, std::memory_order_release, | L8940:val = g_ggml_sycl_force_vram.load(std::memory_order_acquire);",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,767,g_sycl_load_summary_mutex,std::mutex,file,mutable,intrinsic:lock primitive,none found by unscoped lexical scan,unscoped lexical candidate: L782:std::lock_guard<std::mutex> lock(g_sycl_load_summary_mutex); | L797:std::lock_guard<std::mutex> lock(g_sycl_load_summary_mutex); | L826:std::lock_guard<std::mutex> lock(g_sycl_load_summary_mutex);,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,768,g_sycl_load_summary,"std::array<sycl_load_summary_state, GGML_SYCL_MAX_DEVICES>",file,mutable,none evident,none found by unscoped lexical scan,unscoped lexical candidate: L783:for (auto & state : g_sycl_load_summary) { | L798:auto & state = g_sycl_load_summary[device]; | L827:const auto & state = g_sycl_load_summary[device];,device/process slot,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,771,cached,std::atomic<int>,function-local:ggml_sycl_layout_summary_enabled,mutable,intrinsic:atomic,"unscoped lexical candidate: L776:cached.store(value, std::memory_order_release); | L2553:const auto cached = cache->get_placement_plan_snapshot(); | L3383:cached.store(v, std::memory_order_release);","unscoped lexical candidate: L772:int value = cached.load(std::memory_order_acquire); | L876:// passes skip the dequantization kernel entirely, reading cached FP16 directly. | L1006:// Returns cached FP16 pointer or nullptr if not cached",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,1076,g_fp16_cache,fp16_weight_cache,file,mutable,none evident,"unscoped lexical candidate: L61501:if (g_fp16_cache.store(wt_key, weights_scratch, weights_bytes, | L79736:g_fp16_cache.clear(*sycl_ctx->stream(sycl_ctx->device, 0));",unscoped lexical candidate: L61313:g_fp16_cache.init_once(); | L61460:} else if (g_fp16_cache.enabled_for(src0->type) && | L61480:sycl::half * cached = g_fp16_cache.lookup(wt_key);,model/layer semantic state (review required),"lifecycle not inferred; unscoped lexical reset candidate: L79735:GGML_LOG_INFO(""[SYCL] FP16 weight cache: freeing (%.1fMB)\n"", g_fp16_cache.total_bytes / (1024.0f * 1024.0f)); | L79736:g_fp16_cache.clear(*sycl_ctx->stream(sycl_ctx->device, 0));"
ggml/src/ggml-sycl/ggml-sycl.cpp,1079,mode,const int,function-local:onednn_pp_unified_scratch_enabled,immutable binding,none evident,"unscoped lexical candidate: L15725:""alt_soa=%zu kv_ubatch=%u top_k=%d envelope=%d envelope_ubatch=%u mode=%d\n"", | L23588:extra->layout.mode = GGML_LAYOUT_AOS; | L30414:extra->layout.mode = layout_mode;","unscoped lexical candidate: L159:static const char * ggml_sycl_layout_mode_name(ggml_layout_mode mode); | L360:// Safe mode: after every submit via ggml_sycl_compute_forward, drain the | L364:// Strict handle mode: surface data_handle/data_device divergence as a warning in",process or function lifetime (review required),not applicable: immutable binding
ggml/src/ggml-sycl/ggml-sycl.cpp,1142,g_pp_moe_onednn_claim_failpoint,std::atomic<int>,file,mutable,intrinsic:atomic,"unscoped lexical candidate: L1190:return g_pp_moe_onednn_claim_failpoint.exchange(static_cast<int>(pp_moe_onednn_claim_failpoint::NONE), | L12394:g_pp_moe_onednn_claim_failpoint.store(static_cast<int>(pp_moe_onednn_claim_failpoint::FAIL_AFTER_LOCAL_RESERVATION),",none found by unscoped lexical scan,model/layer semantic state (review required),lifecycle not inferred; no binding-resolved reset analysis
